pn_id,part_number,brand,equipment,model,model_evidence,verification,evidence_summary,relation_status
PN-000508,A2U220-211044,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 1",ACTIVE
PN-000512,A2U220-213059,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 2",ACTIVE
PN-000513,A2U220-213060,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 3",ACTIVE
PN-000514,A2U220-213061,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 4",ACTIVE
PN-000515,A2U220-213062,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 5",ACTIVE
PN-000138,445210937,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 6",ACTIVE
PN-000091,106-03455,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 9; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 3; Purchase Order-Shanxi.xlsx, Sheet1, row 10",ACTIVE
PN-000091,106-03455,Sandvik / EIMCO,Underground LHD,LS190,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 9; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 3; Purchase Order-Shanxi.xlsx, Sheet1, row 10",ACTIVE
PN-000332,65083507,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 10",ACTIVE
PN-000122,255305,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 12",ACTIVE
PN-000516,A2U220-213063,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 13",ACTIVE
PN-000179,445502937,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 17; ED10 parts manual page 176, item 12",ACTIVE
PN-000148,445402939,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 18",ACTIVE
PN-000172,445502843,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 5, item 19; ED10 parts manual page 49, item 30; ED10 parts manual page 173, item 21; ED10 parts manual page 176, item 30; ED10 parts manual page 183, item 28; ED10 parts manual page 230, item 1; ED10 parts manual page 235, item 1; ED10 parts manual page 254, item 1; ED10 parts manual page 275, item 7; ED10 parts manual page 317, item 5",ACTIVE
PN-000526,A2U220-241041,Sandvik / EIMCO,Underground LHD,ED10,EXPLICIT,VERIFIED,"ED10 parts manual page 8, item 1; ED10 parts manual page 69, item 1",ACTIVE
