pn_id,part_number,slug,brand,equipment,confirmed_models,category,description,original_description_en,original_description_cn,model_evidence,verification,confidence,evidence_summary,source_files,page_h1,seo_title,meta_description,canonical_path,cta_text,rfq_path,import_status,last_verified_date
PN-000508,A2U220-211044,a2u220-211044,Sandvik / EIMCO,Underground LHD,ED10,Engine,改进型发动机，CAT3126A,,改进型发动机，CAT3126A,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 1",伊泰LS190-ED10配件手册.pdf,A2U220-211044 — 改进型发动机，CAT3126A,A2U220-211044 改进型发动机，CAT3126A | ED10 Spare Part,Verified part number A2U220-211044: 改进型发动机，CAT3126A for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on ,/part-number/a2u220-211044,Request Quote,/rfq/new?partNumber=A2U220-211044,PUBLISHED_READY,2026-09-18
PN-000512,A2U220-213059,a2u220-213059,Sandvik / EIMCO,Underground LHD,ED10,Engine,发动机安装，驾驶员一侧后面,,发动机安装，驾驶员一侧后面,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 2",伊泰LS190-ED10配件手册.pdf,A2U220-213059 — 发动机安装，驾驶员一侧后面,A2U220-213059 发动机安装，驾驶员一侧后面 | ED10 Spare Part,Verified part number A2U220-213059: 发动机安装，驾驶员一侧后面 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on Ku,/part-number/a2u220-213059,Request Quote,/rfq/new?partNumber=A2U220-213059,PUBLISHED_READY,2026-09-18
PN-000513,A2U220-213060,a2u220-213060,Sandvik / EIMCO,Underground LHD,ED10,Engine,发动机安装，驾驶员另一侧后面,,发动机安装，驾驶员另一侧后面,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 3",伊泰LS190-ED10配件手册.pdf,A2U220-213060 — 发动机安装，驾驶员另一侧后面,A2U220-213060 发动机安装，驾驶员另一侧后面 | ED10 Spare Part,Verified part number A2U220-213060: 发动机安装，驾驶员另一侧后面 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on K,/part-number/a2u220-213060,Request Quote,/rfq/new?partNumber=A2U220-213060,PUBLISHED_READY,2026-09-18
PN-000514,A2U220-213061,a2u220-213061,Sandvik / EIMCO,Underground LHD,ED10,Engine,发动机安装，驾驶员一侧前面,,发动机安装，驾驶员一侧前面,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 4",伊泰LS190-ED10配件手册.pdf,A2U220-213061 — 发动机安装，驾驶员一侧前面,A2U220-213061 发动机安装，驾驶员一侧前面 | ED10 Spare Part,Verified part number A2U220-213061: 发动机安装，驾驶员一侧前面 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on Ku,/part-number/a2u220-213061,Request Quote,/rfq/new?partNumber=A2U220-213061,PUBLISHED_READY,2026-09-18
PN-000515,A2U220-213062,a2u220-213062,Sandvik / EIMCO,Underground LHD,ED10,Engine,发动机安装，驾驶员另一侧前面,,发动机安装，驾驶员另一侧前面,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 5",伊泰LS190-ED10配件手册.pdf,A2U220-213062 — 发动机安装，驾驶员另一侧前面,A2U220-213062 发动机安装，驾驶员另一侧前面 | ED10 Spare Part,Verified part number A2U220-213062: 发动机安装，驾驶员另一侧前面 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on K,/part-number/a2u220-213062,Request Quote,/rfq/new?partNumber=A2U220-213062,PUBLISHED_READY,2026-09-18
PN-000138,445210937,445210937,Sandvik / EIMCO,Underground LHD,ED10,Fastener,六角螺钉,,六角螺钉,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 6",伊泰LS190-ED10配件手册.pdf,445210937 — 六角螺钉,445210937 六角螺钉 | ED10 Spare Part,Verified part number 445210937: 六角螺钉 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/445210937,Request Quote,/rfq/new?partNumber=445210937,PUBLISHED_READY,2026-09-18
PN-000091,106-03455,106-03455,Sandvik / EIMCO,Underground LHD,"ED10, LS190",Engine,"ENGINE MOUNTING, CENTRE BONDED","ENGINE MOUNTING, CENTRE BONDED | ENGINE MOUNTING, CENTREBONDED -",安装，中央粘结,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 9; SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx, Sheet1, row 3; Purchase Order-Shanxi.xlsx, Sheet1, row 10",Purchase Order-Shanxi.xlsx | SANDVIK LS190-B2285 SPARE PARTS LIST_Mining India_24.03.2026.xlsx | 伊泰LS190-ED10配件手册.pdf,"106-03455 — ENGINE MOUNTING, CENTRE BONDED","106-03455 ENGINE MOUNTING, CENTRE BONDED | ED10, LS190 Spare","Verified part number 106-03455: ENGINE MOUNTING, CENTRE BONDED for ED10, LS190. Check equipment compatibility and submit an RFQ to qualified mining spare p",/part-number/106-03455,Request Quote,/rfq/new?partNumber=106-03455,PUBLISHED_READY,2026-09-18
PN-000332,65083507,65083507,Sandvik / EIMCO,Underground LHD,ED10,Fastener,垫圈，安装,,垫圈，安装,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 10",伊泰LS190-ED10配件手册.pdf,65083507 — 垫圈，安装,65083507 垫圈，安装 | ED10 Spare Part,Verified part number 65083507: 垫圈，安装 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/65083507,Request Quote,/rfq/new?partNumber=65083507,PUBLISHED_READY,2026-09-18
PN-000122,255305,255305,Sandvik / EIMCO,Underground LHD,ED10,Structure,安装，后部,,安装，后部,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 12",伊泰LS190-ED10配件手册.pdf,255305 — 安装，后部,255305 安装，后部 | ED10 Spare Part,Verified part number 255305: 安装，后部 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYun.,/part-number/255305,Request Quote,/rfq/new?partNumber=255305,PUBLISHED_READY,2026-09-18
PN-000516,A2U220-213063,a2u220-213063,Sandvik / EIMCO,Underground LHD,ED10,Structure,安装，前面,,安装，前面,EXPLICIT,VERIFIED,HIGH,"ED10 parts manual page 5, item 13",伊泰LS190-ED10配件手册.pdf,A2U220-213063 — 安装，前面,A2U220-213063 安装，前面 | ED10 Spare Part,Verified part number A2U220-213063: 安装，前面 for ED10. Check equipment compatibility and submit an RFQ to qualified mining spare parts suppliers on KuangpeiYu,/part-number/a2u220-213063,Request Quote,/rfq/new?partNumber=A2U220-213063,PUBLISHED_READY,2026-09-18
